date,modal_price
2002-11-15,250.0
2002-11-16,250.0
2002-11-17,250.0
2002-11-18,225.0
2002-11-19,240.0
2002-11-20,225.0
2002-11-21,250.0
2002-11-22,225.0
2002-11-23,250.0
2002-11-24,287.77777708641963
2002-11-25,339.81481673525434
2002-11-26,375.0
2002-11-27,300.0
2002-11-28,300.0
2002-11-29,250.0
2002-11-30,250.0
2002-12-01,300.0
2002-12-02,275.0
2002-12-03,250.0
2002-12-04,275.0
2002-12-05,300.0
2002-12-06,250.0
2002-12-07,244.6078431157247
2002-12-08,257.69230768310325
2002-12-09,275.0
2002-12-10,300.0
2002-12-11,325.0
2002-12-12,280.0
2002-12-13,300.0
2002-12-14,314.1176470484429
2002-12-15,322.8571428367347
2002-12-16,321.8181817933884
2002-12-17,300.0
2002-12-18,250.0
2002-12-19,250.0
2002-12-20,280.0
2002-12-21,250.0
2002-12-22,250.0
2002-12-23,250.0
2002-12-24,300.0
2002-12-25,250.0
2002-12-26,270.0
2002-12-27,250.0
2002-12-28,280.0
2002-12-29,265.0
2002-12-30,250.0
2002-12-31,300.0
2003-01-01,250.0
2003-01-02,250.0
2003-01-03,250.0
2003-01-04,300.0
2003-01-05,250.0
2003-01-06,300.0
2003-01-07,300.0
2003-01-08,250.0
2003-01-09,250.0
2003-01-10,250.0
2003-01-11,300.0
2003-01-12,180.0
2003-01-13,170.0
2003-01-14,200.0
2003-01-15,200.0
2003-01-16,200.0
2003-01-17,225.0
2003-01-18,200.0
2003-01-19,200.0
2003-01-20,200.0
2003-01-21,270.0
2003-01-22,250.0
2003-01-23,250.0
2003-01-24,250.0
2003-01-25,225.0
2003-01-26,200.0
2003-01-27,190.9090908892562
2003-01-28,200.0
2003-01-29,250.0
2003-01-30,225.0
2003-01-31,225.0
2003-02-01,200.0
2003-02-02,180.0
2003-02-03,175.0
2003-02-04,125.0
2003-02-05,125.0
2003-02-06,180.0
2003-02-07,200.0
2003-02-08,250.0
2003-02-09,150.0
2003-02-10,250.0
2003-02-11,250.0
2003-02-12,175.0
2003-02-13,175.0
2003-02-14,175.0
2003-02-15,200.0
2003-02-16,200.0
2003-02-17,200.0
2003-02-18,150.0
2003-02-19,175.0
2003-02-20,200.0
2003-02-21,200.0
2003-02-22,250.0
2003-02-23,175.0
2003-02-24,200.0
2003-02-25,175.0
2003-02-26,220.0
2003-02-27,200.0
2003-02-28,250.0
2003-03-01,200.0
2003-03-02,200.0
2003-03-03,250.0
2003-03-04,250.0
2003-03-05,150.0
2003-03-06,250.0
2003-03-07,200.0
2003-03-08,120.0
2003-03-09,124.99999707031193
2003-03-10,160.0
2003-03-11,187.50000073242194
2003-03-12,200.0
2003-03-13,200.0
2003-03-14,150.0
2003-03-15,200.0
2003-03-16,150.0
2003-03-17,133.33333330833332
2003-03-18,150.0
2003-03-19,200.0
2003-03-20,150.0
2003-03-21,175.0
2003-03-22,150.0
2003-03-23,150.0
2003-03-24,200.0
2003-03-25,175.0
2003-03-26,200.0
2003-03-27,200.0
2003-03-28,200.0
2003-03-29,150.0
2003-03-30,150.0
2003-03-31,150.0
2003-04-01,143.6507931468885
2003-04-02,129.86111265432032
2003-04-03,125.0
2003-04-04,200.0
2003-04-05,200.0
2003-04-06,200.0
2003-04-07,200.0
2003-04-08,200.0
2003-04-09,200.0
2003-04-10,150.0
2003-04-11,225.0
2003-04-12,250.0
2003-04-13,250.0
2003-04-14,150.0
2003-04-15,250.0
2003-04-16,250.0
2003-04-17,250.0
2003-04-18,150.0
2003-04-19,150.0
2003-04-20,250.0
2003-04-21,250.0
2003-04-22,250.0
2003-04-23,250.0
2003-04-24,250.0
2003-04-25,250.0
2003-04-26,300.0
2003-04-27,250.0
2003-04-28,250.0
2003-04-29,250.0
2003-04-30,250.0
2003-05-01,250.0
2003-05-02,250.0
2003-05-03,250.0
2003-05-04,250.0
2003-05-05,250.0
2003-05-06,250.0
2003-05-07,250.0
2003-05-08,300.0
2003-05-09,250.0
2003-05-10,250.0
2003-05-11,250.0
2003-05-12,400.0
2003-05-13,350.0
2003-05-14,300.0
