date,modal_price
2002-11-11,116.38235292482699
2002-11-12,120.0
2002-11-13,130.0
2002-11-14,180.0
2002-11-15,130.0
2002-11-16,150.0
2002-11-17,130.0
2002-11-18,125.0
2002-11-19,130.0
2002-11-20,125.0
2002-11-21,150.0
2002-11-22,125.0
2002-11-23,130.0
2002-11-24,180.0
2002-11-25,180.0
2002-11-26,125.0
2002-11-27,250.0
2002-11-28,125.0
2002-11-29,125.0
2002-11-30,125.0
2002-12-01,190.0
2002-12-02,150.0
2002-12-03,225.0
2002-12-04,180.0
2002-12-05,120.0
2002-12-06,130.0
2002-12-07,150.59523646541854
2002-12-08,180.23256090379397
2002-12-09,200.0
2002-12-10,185.0
2002-12-11,170.0
2002-12-12,200.0
2002-12-13,200.0
2002-12-14,187.18749793836878
2002-12-15,162.5
2002-12-16,137.0703151092519
2002-12-17,125.0
2002-12-18,130.0
2002-12-19,125.0
2002-12-20,130.0
2002-12-21,130.0
2002-12-22,130.0
2002-12-23,150.0
2002-12-24,130.0
2002-12-25,120.0
2002-12-26,120.0
2002-12-27,120.0
2002-12-28,130.0
2002-12-29,130.0
2002-12-30,130.0
2002-12-31,130.0
2003-01-01,120.0
2003-01-02,150.0
2003-01-03,120.0
2003-01-04,180.0
2003-01-05,130.0
2003-01-06,130.0
2003-01-07,125.0
2003-01-08,120.0
2003-01-09,125.0
2003-01-10,120.0
2003-01-11,125.0
2003-01-12,120.0
2003-01-13,130.0
2003-01-14,120.0
2003-01-15,120.0
2003-01-16,120.0
2003-01-17,125.0
2003-01-18,120.0
2003-01-19,120.0
2003-01-20,120.0
2003-01-21,130.0
2003-01-22,150.0
2003-01-23,120.0
2003-01-24,120.0
2003-01-25,121.8055555515625
2003-01-26,130.0
2003-01-27,250.0
2003-01-28,300.0
2003-01-29,150.0
2003-01-30,125.0
2003-01-31,125.0
2003-02-01,125.0
2003-02-02,150.0
2003-02-03,150.0
2003-02-04,125.0
2003-02-05,125.0
2003-02-06,130.0
2003-02-07,150.0
2003-02-08,225.0
2003-02-09,150.0
2003-02-10,125.0
2003-02-11,125.0
2003-02-12,125.0
2003-02-13,125.0
2003-02-14,125.0
2003-02-15,125.0
2003-02-16,125.0
2003-02-17,125.0
2003-02-18,125.0
2003-02-19,125.0
2003-02-20,125.0
2003-02-21,120.0
2003-02-22,125.0
2003-02-23,125.0
2003-02-24,125.0
2003-02-25,125.0
2003-02-26,120.0
2003-02-27,250.0
2003-02-28,120.0
2003-03-01,125.0
2003-03-02,120.0
2003-03-03,150.0
2003-03-04,130.0
2003-03-05,250.0
2003-03-06,120.0
2003-03-07,200.0
2003-03-08,120.0
2003-03-09,79.46428569132652
2003-03-10,73.7499999765625
2003-03-11,91.2499999861111
2003-03-12,125.0
2003-03-13,175.0
2003-03-14,150.0
2003-03-15,150.0
2003-03-16,150.0
2003-03-17,150.0
2003-03-18,150.0
2003-03-19,200.0
2003-03-20,150.0
2003-03-21,250.0
2003-03-22,150.0
2003-03-23,150.0
2003-03-24,120.0
2003-03-25,125.0
2003-03-26,170.0
2003-03-27,150.0
2003-03-28,150.0
2003-03-29,150.0
2003-03-30,150.0
2003-03-31,130.0
2003-04-01,118.10077517476114
2003-04-02,115.08771927386888
2003-04-03,125.0
2003-04-04,150.0
2003-04-05,150.0
2003-04-06,150.0
2003-04-07,150.0
2003-04-08,150.0
2003-04-09,200.0
2003-04-10,130.0
2003-04-11,200.0
2003-04-12,150.0
2003-04-13,150.0
2003-04-14,150.0
2003-04-15,150.0
2003-04-16,130.0
2003-04-17,150.0
2003-04-18,150.0
2003-04-19,150.0
2003-04-20,180.0
2003-04-21,150.0
2003-04-22,200.0
2003-04-23,150.0
2003-04-24,150.0
2003-04-25,150.0
2003-04-26,150.0
2003-04-27,125.0
2003-04-28,150.0
2003-04-29,152.58620472280072
2003-04-30,135.0
2003-05-01,116.66666917438214
2003-05-02,120.0
2003-05-03,150.0
2003-05-04,200.0
2003-05-05,200.0
2003-05-06,150.0
2003-05-07,150.0
2003-05-08,150.0
2003-05-09,130.0
2003-05-10,150.0
2003-05-11,150.0
2003-05-12,175.0
2003-05-13,200.0
2003-05-14,150.0
2003-05-15,200.0
2003-05-16,150.0
2003-05-17,225.0
2003-05-18,175.0
2003-05-19,225.0
2003-05-20,150.0
2003-05-21,250.0
2003-05-22,250.0
2003-05-23,200.0
2003-05-24,250.0
2003-05-25,200.0
2003-05-26,250.0
2003-05-27,250.0
2003-05-28,300.0
2003-05-29,300.0
2003-05-30,250.0
2003-05-31,250.0
2003-06-01,300.0
2003-06-02,400.0
2003-06-03,400.0
2003-06-04,300.0
2003-06-05,350.0
2003-06-06,387.49999998125
2003-06-07,400.0
2003-06-08,325.0
2003-06-09,250.0
2003-06-10,350.0
2003-06-11,400.0
2003-06-12,300.0
2003-06-13,350.0
2003-06-14,400.0
2003-06-15,500.0
2003-06-16,500.0
2003-06-17,500.0
2003-06-18,550.0
2003-06-19,500.0
2003-06-20,500.0
2003-06-21,500.0
2003-06-22,500.0
2003-06-23,500.0
2003-06-24,500.0
2003-06-25,500.0
2003-06-26,500.0
2003-06-27,500.0
2003-06-28,500.0
2003-06-29,500.0
2003-06-30,500.0
2003-07-01,500.0
2003-07-02,500.0
2003-07-03,550.0
2003-07-04,350.0
2003-07-05,500.0
2003-07-06,500.0
2003-07-07,500.0
2003-07-08,400.0
2003-07-09,400.0
2003-07-10,400.0
2003-07-11,450.0
2003-07-12,500.0
2003-07-13,400.0
2003-07-14,500.0
2003-07-15,350.0
2003-07-16,300.0
2003-07-17,300.0
2003-07-18,450.0
2003-07-19,425.0
2003-07-20,400.0
2003-07-21,400.0
2003-07-22,350.0
2003-07-23,400.0
2003-07-24,250.0
2003-07-25,300.0
2003-07-26,250.0
2003-07-27,200.0
2003-07-28,200.0
2003-07-29,200.0
2003-07-30,200.0
2003-07-31,200.0
2003-08-01,150.0
2003-08-02,300.0
2003-08-03,300.0
2003-08-04,250.0
2003-08-05,250.0
2003-08-06,200.0
2003-08-07,200.0
2003-08-08,300.0
2003-08-09,350.0
2003-08-10,300.0
2003-08-11,300.0
2003-08-12,300.0
2003-08-13,250.0
2003-08-14,200.0
2003-08-15,200.0
2003-08-16,200.0
2003-08-17,300.0
2003-08-18,200.0
2003-08-19,300.0
2003-08-20,200.0
2003-08-21,150.0
2003-08-22,300.0
2003-08-23,300.0
2003-08-24,350.0
2003-08-25,300.0
2003-08-26,300.0
2003-08-27,300.0
2003-08-28,250.0
2003-08-29,200.0
2003-08-30,150.0
2003-08-31,180.0
2003-09-01,150.0
2003-09-02,200.0
2003-09-03,250.0
2003-09-04,283.9285714163265
2003-09-05,308.3333333111111
2003-09-06,317.499999976
2003-09-07,300.0
2003-09-08,250.0
2003-09-09,250.0
2003-09-10,300.0
2003-09-11,300.0
2003-09-12,300.0
2003-09-13,300.0
2003-09-14,250.0
2003-09-15,250.0
2003-09-16,250.0
2003-09-17,250.0
2003-09-18,250.0
2003-09-19,200.0
2003-09-20,250.0
2003-09-21,250.0
2003-09-22,300.0
2003-09-23,250.0
2003-09-24,250.0
2003-09-25,200.0
2003-09-26,200.0
2003-09-27,200.0
2003-09-28,150.0
2003-09-29,130.95238093197278
2003-09-30,144.87179484812623
2003-10-01,200.0
2003-10-02,300.0
2003-10-03,200.0
2003-10-04,300.0
2003-10-05,200.0
2003-10-06,200.0
2003-10-07,150.0
2003-10-08,300.0
2003-10-09,150.0
2003-10-10,150.0
2003-10-11,150.0
2003-10-12,150.0
2003-10-13,200.0
2003-10-14,120.0
2003-10-15,200.0
2003-10-16,200.0
2003-10-17,125.0
2003-10-18,250.0
2003-10-19,250.0
2003-10-20,250.0
2003-10-21,200.0
2003-10-22,250.0
2003-10-23,200.0
2003-10-24,150.0
2003-10-25,150.0
2003-10-26,150.0
2003-10-27,150.0
2003-10-28,150.0
2003-10-29,250.0
2003-10-30,250.0
2003-10-31,200.0
2003-11-01,190.0
2003-11-02,250.0
2003-11-03,175.0
2003-11-04,200.0
2003-11-05,200.0
2003-11-06,200.0
2003-11-07,200.0
2003-11-08,200.0
2003-11-09,200.0
2003-11-10,250.0
2003-11-11,274.999999975
2003-11-12,275.0
2003-11-13,250.0
2003-11-14,200.0
2003-11-15,250.0
2003-11-16,274.9999999777778
2003-11-17,274.9999999777778
2003-11-18,250.0
2003-11-19,200.0
2003-11-20,200.0
2003-11-21,200.0
2003-11-22,200.0
2003-11-23,200.0
2003-11-24,200.0
2003-11-25,200.0
2003-11-26,200.0
2003-11-27,250.0
2003-11-28,200.0
2003-11-29,205.5555530864192
2003-11-30,244.4444469135808
2003-12-01,250.0
2003-12-02,200.0
2003-12-03,150.0
2003-12-04,200.0
2003-12-05,200.0
2003-12-06,400.0
2003-12-07,200.0
2003-12-08,150.0
2003-12-09,112.49999998125
2003-12-10,100.0
2003-12-11,150.0
2003-12-12,175.0
2003-12-13,200.0
2003-12-14,250.0
2003-12-15,200.0
2003-12-16,200.0
2003-12-17,200.0
2003-12-18,200.0
2003-12-19,205.20833230794256
2003-12-20,216.66666549479152
2003-12-21,232.2916659342447
2003-12-22,250.0
2003-12-23,267.7083340657553
2003-12-24,283.3333345052085
2003-12-25,294.79166769205744
2003-12-26,300.0
2003-12-27,300.0
2003-12-28,300.0
2003-12-29,200.0
2003-12-30,200.0
2003-12-31,200.0
2004-01-01,213.8888864197509
2004-01-02,236.1111135802491
2004-01-03,250.0
2004-01-04,250.0
2004-01-05,250.0
2004-01-06,250.0
2004-01-07,200.0
2004-01-08,200.0
2004-01-09,200.0
2004-01-10,200.0
2004-01-11,191.66666664166667
2004-01-12,175.0
2004-01-13,150.0
2004-01-14,200.0
2004-01-15,194.4444419753092
2004-01-16,155.5555580246908
2004-01-17,150.0
2004-01-18,200.0
2004-01-19,200.0
2004-01-20,150.0
2004-01-21,200.0
2004-01-22,150.0
2004-01-23,150.0
2004-01-24,200.0
2004-01-25,150.0
2004-01-26,250.0
2004-01-27,150.0
2004-01-28,200.0
2004-01-29,200.0
2004-01-30,175.0
2004-01-31,250.0
2004-02-01,225.0
2004-02-02,200.0
2004-02-03,225.0
2004-02-04,250.0
2004-02-05,250.0
2004-02-06,150.0
2004-02-07,150.0
2004-02-08,250.0
2004-02-09,250.0
2004-02-10,300.0
2004-02-11,200.0
2004-02-12,250.0
2004-02-13,200.0
2004-02-14,250.0
2004-02-15,200.0
2004-02-16,200.0
2004-02-17,250.0
2004-02-18,250.0
2004-02-19,130.0
2004-02-20,150.0
2004-02-21,120.0
2004-02-22,150.0
2004-02-23,120.0
2004-02-24,150.0
2004-02-25,150.0
2004-02-26,150.0
2004-02-27,130.0
2004-02-28,200.0
2004-02-29,250.0
2004-03-01,200.0
2004-03-02,150.0
2004-03-03,150.0
2004-03-04,150.0
2004-03-05,150.0
2004-03-06,150.0
2004-03-07,150.0
2004-03-08,150.0
2004-03-09,150.0
2004-03-10,150.0
2004-03-11,200.0
2004-03-12,150.0
2004-03-13,125.0
2004-03-14,150.0
2004-03-15,150.0
2004-03-16,150.0
2004-03-17,150.0
2004-03-18,150.0
2004-03-19,150.0
2004-03-20,150.0
2004-03-21,150.0
2004-03-22,150.0
2004-03-23,150.0
2004-03-24,200.0
2004-03-25,150.0
2004-03-26,150.0
2004-03-27,150.0
2004-03-28,150.0
2004-03-29,150.0
2004-03-30,150.0
2004-03-31,150.0
2004-04-01,150.0
2004-04-02,150.0
2004-04-03,150.0
2004-04-04,150.0
2004-04-05,150.0
2004-04-06,150.0
2004-04-07,150.0
2004-04-08,150.0
2004-04-09,150.0
2004-04-10,150.0
2004-04-11,150.0
2004-04-12,150.0
2004-04-13,150.0
2004-04-14,150.0
2004-04-15,150.0
2004-04-16,150.0
2004-04-17,175.0
2004-04-18,200.0
2004-04-19,200.0
2004-04-20,250.0
2004-04-21,200.0
2004-04-22,200.0
2004-04-23,200.0
2004-04-24,150.0
2004-04-25,150.0
2004-04-26,150.0
2004-04-27,150.0
2004-04-28,150.0
2004-04-29,155.20833230794256
2004-04-30,166.66666549479152
2004-05-01,182.2916659342447
2004-05-02,200.0
2004-05-03,217.7083340657553
2004-05-04,233.33333450520848
2004-05-05,244.79166769205744
2004-05-06,250.0
2004-05-07,250.0
2004-05-08,245.63491909171134
2004-05-09,236.5079352733691
2004-05-10,225.0
2004-05-11,213.4920647266309
2004-05-12,204.36508090828863
2004-05-13,200.0
2004-05-14,200.0
2004-05-15,200.0
2004-05-16,200.0
2004-05-17,250.0
2004-05-18,239.99999687500065
2004-05-19,200.0
2004-05-20,166.00000112499987
2004-05-21,150.0
2004-05-22,150.0
2004-05-23,150.0
2004-05-24,163.8888864197509
2004-05-25,186.1111135802491
2004-05-26,200.0
2004-05-27,200.0
2004-05-28,175.0
2004-05-29,150.0
2004-05-30,150.0
2004-05-31,150.0
2004-06-01,150.0
2004-06-02,150.0
2004-06-03,150.0
2004-06-04,150.0
2004-06-05,150.0
2004-06-06,150.0
2004-06-07,150.0
2004-06-08,200.0
2004-06-09,250.0
2004-06-10,250.0
2004-06-11,150.0
2004-06-12,144.9999969999997
2004-06-13,200.0
2004-06-14,246.42857295918378
2004-06-15,250.0
2004-06-16,200.0
2004-06-17,150.0
2004-06-18,250.0
2004-06-19,250.0
2004-06-20,250.0
2004-06-21,250.0
2004-06-22,225.0
2004-06-23,200.0
2004-06-24,183.65468884705592
2004-06-25,173.21428568953573
2004-06-26,165.91320070217682
2004-06-27,160.4796663032584
2004-06-28,156.24712906647542
2004-06-29,152.83251231036607
2004-06-30,150.0
2004-07-01,150.0
2004-07-02,150.0
2004-07-03,150.0
2004-07-04,150.0
2004-07-05,150.0
2004-07-06,150.0
2004-07-07,150.0
2004-07-08,150.0
2004-07-09,150.0
2004-07-10,150.0
2004-07-11,150.0
2004-07-12,150.0
2004-07-13,150.0
2004-07-14,150.0
2004-07-15,150.0
2004-07-16,150.0
2004-07-17,150.0
2004-07-18,150.0
2004-07-19,150.0
2004-07-20,150.0
2004-07-21,150.0
2004-07-22,150.0
2004-07-23,150.0
2004-07-24,150.0
2004-07-25,150.0
2004-07-26,150.0
2004-07-27,150.0
2004-07-28,150.0
2004-07-29,150.0
2004-07-30,150.0
2004-07-31,150.0
2004-08-01,150.0
2004-08-02,150.0
2004-08-03,150.0
2004-08-04,150.0
2004-08-05,150.0
2004-08-06,150.0
2004-08-07,150.0
2004-08-08,150.0
2004-08-09,150.0
2004-08-10,150.0
2004-08-11,200.0
2004-08-12,200.0
2004-08-13,150.0
2004-08-14,150.0
2004-08-15,200.0
2004-08-16,150.0
2004-08-17,200.0
2004-08-18,200.0
2004-08-19,200.0
2004-08-20,150.0
2004-08-21,150.0
2004-08-22,175.0
2004-08-23,250.0
2004-08-24,150.0
2004-08-25,150.0
2004-08-26,150.0
2004-08-27,200.0
2004-08-28,250.0
2004-08-29,300.0
2004-08-30,250.0
2004-08-31,200.0
2004-09-01,200.0
2004-09-02,200.0
2004-09-03,250.0
2004-09-04,300.0
2004-09-05,200.0
2004-09-06,200.0
2004-09-07,200.0
2004-09-08,200.0
2004-09-09,150.0
2004-09-10,175.0
2004-09-11,173.43749707031432
2004-09-12,162.5
2004-09-13,153.90625073242165
2004-09-14,150.0
2004-09-15,150.0
2004-09-16,175.0
2004-09-17,200.0
2004-09-18,200.0
2004-09-19,150.0
2004-09-20,125.0
2004-09-21,125.0
2004-09-22,125.0
2004-09-23,150.0
2004-09-24,200.0
2004-09-25,125.0
2004-09-26,150.0
2004-09-27,200.0
2004-09-28,150.0
2004-09-29,150.0
2004-09-30,150.0
2004-10-01,150.0
2004-10-02,150.0
2004-10-03,150.0
2004-10-04,150.0
2004-10-05,150.0
2004-10-06,150.0
2004-10-07,150.0
2004-10-08,150.0
2004-10-09,120.0
2004-10-10,120.0
2004-10-11,150.0
2004-10-12,130.0
2004-10-13,130.0
2004-10-14,125.0
2004-10-15,150.0
2004-10-16,125.0
2004-10-17,150.0
2004-10-18,125.0
2004-10-19,150.0
2004-10-20,200.0
2004-10-21,175.0
2004-10-22,150.0
2004-10-23,200.0
2004-10-24,200.0
2004-10-25,200.0
2004-10-26,250.0
2004-10-27,250.0
2004-10-28,250.0
2004-10-29,250.0
2004-10-30,250.0
2004-10-31,250.0
2004-11-01,200.0
2004-11-02,200.0
2004-11-03,250.0
2004-11-04,250.0
2004-11-05,250.0
2004-11-06,175.0
2004-11-07,250.0
2004-11-08,250.0
2004-11-09,200.0
2004-11-10,200.0
2004-11-11,200.0
2004-11-12,200.0
2004-11-13,200.0
2004-11-14,200.0
2004-11-15,200.0
2004-11-16,300.0
2004-11-17,200.0
